playerId,displayName,overrideValue,looksAbbreviated,knownNames
30df8c66,Simarjeet Singh,,no,Simarjeet Singh
64d43928,Sohail Tanvir,,no,Sohail Tanvir
8998a68f,Sumit Kumar,,no,Sumit Kumar
9d430b40,Sunil Narine,,no,Sunil Narine
ee3dfa89,Sunny Gupta,,no,Sunny Gupta
30e37810,Sunny Singh,,no,Sunny Singh
271f83cd,Suryakumar Yadav,,no,Suryakumar Yadav
970ddd24,Suryansh Shedge,,no,Suryansh Shedge
9440ef41,Suyash Sharma,,no,Suyash Sharma
983f2f61,Swapnil Singh,,no,Swapnil Singh
5724e517,Tanush Kotian,,no,Tanush Kotian
c28e9f12,Tejas Baroka,,no,Tejas Baroka
b0482a1d,Tilak Varma,Tilak Varma,no,Tilak Varma
f1f99156,Tim David,,no,Tim David
12b610c2,Travis Head,,no,Travis Head
a818c1be,Trent Boult,,no,Trent Boult
85b3fab2,Tristan Stubbs,,no,Tristan Stubbs
16dfcc19,Umar Gul,,no,Umar Gul
cc1e8c68,Umesh Yadav,,no,Umesh Yadav
81c08fa3,Umran Malik,,no,Umran Malik
cf59b3f0,Urvil Patel,,no,Urvil Patel
470f446b,Vaibhav Suryavanshi,,no,Vaibhav Suryavanshi
5b7ab5a9,Varun Chakaravarthy,,no,Varun Chakaravarthy
a24be938,Venkatesh Iyer,,no,Venkatesh Iyer
54e52590,Vijaykumar Vyshak,,no,Vijaykumar Vyshak
ba607b88,Virat Kohli,,no,Virat Kohli
26d76ad9,Virat Singh,,no,Virat Singh
0494fa6e,Vishnu Vinod,,no,Vishnu Vinod
1b7b0fa7,Vivrant Sharma,,no,Vivrant Sharma
a97c8ec2,Wanindu Hasaranga,,no,Wanindu Hasaranga
f19ccfad,Washington Sundar,,no,Washington Sundar
9caf69a1,Will Jacks,,no,Will Jacks
bcce309e,WPUJC Vaas,,no,WPUJC Vaas
7210d461,Yash Dayal,,no,Yash Dayal
4b31f3a3,Yash Thakur,,no,Yash Thakur
6c19c6e5,Yashasvi Jaiswal,,no,Yashasvi Jaiswal
297b26da,Yashpal Singh,,no,Yashpal Singh
33cb3411,Younis Khan,,no,Younis Khan
4885bbe6,Yudhvir Singh,,no,Yudhvir Singh
1c914163,Yuvraj Singh,,no,Yuvraj Singh
57ee1fde,Yuzvendra Chahal,,no,Yuzvendra Chahal
91a4a398,Zaheer Khan,,no,Zaheer Khan
36619795,Zeeshan Ansari,,no,Zeeshan Ansari
